Simbolo,Nome,NumeroAtomico,Linha,Coluna,EstadoFisico
H,Hydrogen,1,1,1,Gas
He,Helium,2,1,18,Gas
Li,Lithium,3,2,1,Solid
Be,Beryllium,4,2,2,Solid
B,Boron,5,2,13,Solid
C,Carbon,6,2,14,Solid
N,Nitrogen,7,2,15,Gas
O,Oxygen,8,2,16,Gas
F,Fluorine,9,2,17,Gas
Ne,Neon,10,2,18,Gas
Na,Sodium,11,3,1,Solid
Mg,Magnesium,12,3,2,Solid
Al,Aluminium,13,3,13,Solid
Si,Silicon,14,3,14,Solid
P,Phosphorus,15,3,15,Solid
S,Sulfur,16,3,16,Solid
Cl,Chlorine,17,3,17,Gas
Ar,Argon,18,3,18,Gas
K,Potassium,19,4,1,Solid
Ca,Calcium,20,4,2,Solid
Sc,Scandium,21,4,1,Solid
Ti,Titanium,22,4,2,Solid
V,Vanadium,23,4,3,Solid
Cr,Chromium,24,4,4,Solid
Mn,Manganese,25,4,5,Solid
Fe,Iron,26,4,6,Solid
Co,Cobalt,27,4,7,Solid
Ni,Nickel,28,4,8,Solid
Cu,Copper,29,4,9,Solid
Zn,Zinc,30,4,10,Solid
Ga,Gallium,31,4,13,Solid
Ge,Germanium,32,4,14,Solid
As,Arsenic,33,4,15,Solid
Se,Selenium,34,4,16,Solid
Br,Bromine,35,4,17,Liquid
Kr,Krypton,36,4,18,Gas
Rb,Rubidium,37,5,1,Solid
Sr,Strontium,38,5,2,Solid
Y,Yttrium,39,5,1,Solid
Zr,Zirconium,40,5,2,Solid
Nb,Niobium,41,5,3,Solid
Mo,Molybdenum,42,5,4,Solid
Tc,Technetium,43,5,5,Solid
Ru,Ruthenium,44,5,6,Solid
Rh,Rhodium,45,5,7,Solid
Pd,Palladium,46,5,8,Solid
Ag,Silver,47,5,9,Solid
Cd,Cadmium,48,5,10,Solid
In,Indium,49,5,13,Solid
Sn,Tin,50,5,14,Solid
Sb,Antimony,51,5,15,Solid
Te,Tellurium,52,5,16,Solid
I,Iodine,53,5,17,Solid
Xe,Xenon,54,5,18,Gas
Cs,Caesium,55,6,1,Solid
Ba,Barium,56,6,2,Solid
La,Lanthanum,57,6,4,Solid
Ce,Cerium,58,6,5,Solid
Pr,Praseodymium,59,6,6,Solid
Nd,Neodymium,60,6,7,Solid
Pm,Promethium,61,6,8,Solid
Sm,Samarium,62,6,9,Solid
Eu,Europium,63,6,10,Solid
Gd,Gadolinium,64,6,11,Solid
Tb,Terbium,65,6,12,Solid
Dy,Dysprosium,66,6,13,Solid
Ho,Holmium,67,6,14,Solid
Er,Erbium,68,6,15,Solid
Tm,Thulium,69,6,16,Solid
Yb,Ytterbium,70,6,17,Solid
Lu,Lutetium,71,6,1,Solid
Hf,Hafnium,72,6,2,Solid
Ta,Tantalum,73,6,3,Solid
W,Tungsten,74,6,4,Solid
Re,Rhenium,75,6,5,Solid
Os,Osmium,76,6,6,Solid
Ir,Iridium,77,6,7,Solid
Pt,Platinum,78,6,8,Solid
Au,Gold,79,6,9,Solid
Hg,Mercury,80,6,10,Liquid
Tl,Thallium,81,6,13,Solid
Pb,Lead,82,6,14,Solid
Bi,Bismuth,83,6,15,Solid
Po,Polonium,84,6,16,Solid
At,Astatine,85,6,17,Solid
Rn,Radon,86,6,18,Gas
Fr,Francium,87,7,1,Solid
Ra,Radium,88,7,2,Solid
Ac,Actinium,89,7,4,Solid
Th,Thorium,90,7,5,Solid
Pa,Protactinium,91,7,6,Solid
U,Uranium,92,7,7,Solid
Np,Neptunium,93,7,8,Solid
Pu,Plutonium,94,7,9,Solid
Am,Americium,95,7,10,Solid
Cm,Curium,96,7,11,Solid
Bk,Berkelium,97,7,12,Solid
Cf,Californium,98,7,13,Solid
Es,Einsteinium,99,7,14,Solid
Fm,Fermium,100,7,15,Solid
Md,Mendelevium,101,7,16,Solid
No,Nobelium,102,7,17,Solid
Lr,Lawrencium,103,7,18,Solid
Mt,Meitnerium,109,7,7,UnknownState
Ds,Darmstadtium,110,7,8,UnknownState
Rg,Roentgenium,111,7,9,UnknownState
Cn,Copernicium,112,7,10,UnknownState
Nh,Nihonium,113,7,13,UnknownState
Fl,Flerovium,114,7,14,UnknownState
Mc,Moscovium,115,7,15,UnknownState
Lv,Livermorium,116,7,16,UnknownState
Ts,Tennessine,117,7,17,UnknownState
Og,Oganesson,118,7,18,UnknownState
